Names,GSEA_term,Beta_FDR,Alpha_FDR,Delta_FDR,PP_FDR,PSC_FDR,Endothelial_FDR,Duct_FDR,Acinar_FDR,Beta.Genes,Alpha.Genes,Delta.Genes,PP.Genes,PSC.Genes,Endothelial.Genes,Duct.Genes,Acinar.Genes,Beta.Counts,Alpha.Counts,Delta.Counts,PP.Counts,PSC.Counts,Endothelial.Counts,Duct.Counts,Acinar.Counts,Gene_Count
Vitamin B6 Binding,GOMF_VITAMIN_B6_BINDING,0.166374576,1,0.002194215,0.702017644,1,1,1,1,"PSAT1,CISD1,GCAT,ABAT",,"NFS1,CISD1,ALAS1,KYAT1,ABAT,GPT2,GCAT","SPTLC1,THNSL2",AGXT,CISD1,SDSL,AGXT,4,0,7,2,1,1,1,1,50
Type I Diabetes Mellitus,HP_TYPE_I_DIABETES_MELLITUS,0.508712353,0.815250357,0.003502146,1,0.071726809,1,1,0.761638785,"INS,HNF1A,ABCC8","ADA2,DUT","ADA2,STOX1,FLT1,CAT,KCNJ11,GOSR2,EDA",,"CAV1,INS,DNASE2,DUT",INS,IL18BP,"GOSR2,HNF1A",3,2,7,0,4,1,1,2,55
Peroxisome Pathway,KEGG_PEROXISOME,0.690865461,0.604189396,0.018838988,0.596053088,0.000766596,0.07036689,0.216579165,0.605582607,"PIPOX,PRDX5,ABCD3","GSTK1,PRDX5,PMVK","PRDX5,ABCD3,DECR2,CAT,DHRS4,IDH1,DDO","HMGCL,PEX14,PEX11B","SOD2,PXMP2,PRDX5,GSTK1,ECH1,PEX2,PHYH,AGXT","MPV17,PEX10,SOD2,PEX7,ECH1","PRDX1,SOD2,PAOX,PXMP2","IDH2,AGXT,PEX3",3,3,7,3,8,5,4,3,78
Post-Translational Protein Modification,GOBP_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,1,0.815250357,0.483293097,3.42E-05,0.05246353,0.000980627,0.045640405,0.061248265,"LMO7,RNF186,CENPS,UBE2S,USP18,COMMD1,ANAPC11,BCL11A,TBC1D7","HINT1,RPS7,BEX3,PARK7,ANAPC15,UBB,UFC1,ANAPC11,RPS3,NEDD8,SUMO1,SUMO2,RPS2,SKP1,BEX4,CDK5,USP18,CENPX","BEX3,RPS2,ANAPC11,ARRB2,SENP8,KBTBD7,PAXIP1,RWDD3,ASB6,CUL9,SMC6,UBAC1,CCNF,SHPRH,USP44,SIRT1,RNF123,SUMO4,TRIM68,ASB4,RNF141,COMMD1","UBC,RPS3,ZC3H12A,RPS2,RPS27A,NOP53,OGT,RPL11,UBE2D2,RNF182,FZR1,NHLRC3,HINT1,ATG4D,RPS7,UBE2V2,RNF126,UBE2J1,TRIM11,SPSB3,ANKRD9,TRIB3,UBA52,TBC1D7,COPS3,PDCD6,RNF14,NSMCE2,UBE2B,UBAC1,UBE3B,SLF1,KLHL18,PARP6,SMURF1,CCNB1IP1,UBA2","CAV1,EPAS1,UBE2B,IFI27,UBA2,NQO1,SKP1,UBXN1,SQSTM1,CRTAP,SASH1,TRAF1,HINT1,RNF152,KCTD9,TNIP1,ANAPC13,RBCK1,PEX2,UBE2L6,RNF114,FBXW5,SUMO1,ANAPC16,UBE2D4","HINT1,UBB,RPS27A,ELOC,UBE2D3,PEX10,UBA52,SUMO1,NDFIP1,SKP1,ANAPC11,RELA,UBE2M,NSMCE4A,OTULINL,SUMO2,RNF7,BEX3,ISG15,CRBN,SOCS3,UBE2N,ANAPC15,TRIM32,TSPO,UBE2L3,FBXO5,SPHK1,TOLLIP,PPIA,CDC16,FBXW8","HINT1,PPIA,RIPK2,RPS3,RNF114,UBA52,TNIP1,RNF181,ZC3H12A,PDCD6,RPL11,UCHL3,SUMO1,ISG15,DDRGK1,UBXN1,TRIM69,UBE2L3,NEDD8,JOSD2,HSPBP1,DESI1,CENPX,COPS3,COPS8,SIRT7","RPS3,RPS2,RPS27A,RPL11,RACK1,RPS7,UFC1,ANAPC11,PARK7,PPIB,UBE2M,HINT1,FBXO2,NOP53,COMMD1,ZSWIM8,TOR1A,BRCA1,MED18,TRIM47,FBXO9,WDR24,EIPR1,DCAF8,RNF180,CDK5",9,18,22,37,25,32,26,26,964
Mitophagy,REACTOME_MITOPHAGY,1,0.192989618,1,0.000207792,0.119754247,9.10E-06,0.473230611,1,,"UBB,TOMM22,TOMM5",TOMM7,"UBC,RPS27A,UBE2D2,MFN1,UBA52,ULK1,MAP1LC3B","SQSTM1,OPTN,MAP1LC3A","UBB,RPS27A,UBE2D3,UBA52,TOMM22,UBE2N,VDAC2,UBE2L3","UBA52,UBE2L3",RPS27A,0,3,1,7,3,8,2,1,37
TNFA Signaling via NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,1,1,1,0.000280517,5.31E-14,0.199095191,2.25E-10,1,,,"IL23A,SGK1,PDE4B,FUT4","ZC3H12A,GADD45A,NAMPT,SNN,CXCL6,CXCL2,RELB,IFNGR2,REL,KLF6,NINJ1,NR4A3,B4GALT5,PDLIM5","SOD2,G0S2,ZFP36,EIF1,GADD45A,IL15RA,KLF6,JUNB,NAMPT,CXCL2,IL6,TSC22D1,MSC,SQSTM1,TNFAIP6,TNFAIP8,GCH1,TRAF1,NFKBIA,TNFAIP2,TNIP1,CXCL1,NINJ1,CCL20,LAMB3,SLC2A6","EIF1,SOD2,RELA,MAFF,SOCS3,TGIF1,SPHK1","SOD2,CCL2,CXCL1,CXCL2,ICAM1,RIPK2,CD44,EIF1,CXCL6,IFNGR2,TNIP1,ZC3H12A,CXCL3,MAP3K8,CCL20,PLAU,TNFAIP8,SLC2A6,PTX3,LDLR,TNFAIP2,CFLAR","CXCL2,NR4A1",0,0,4,14,26,7,22,2,198
Regulation of Pyruvate Metabolism,REACTOME_REGULATION_OF_PYRUVATE_METABOLISM,1,0.514842983,1,0.008515322,1,0.115452123,0.919018171,0.175810711,,"UBB,GSTZ1",,"UBC,RPS27A,PDK4,UBA52,MKLN1",,"UBB,RPS27A,UBA52",UBA52,"RPS27A,LDHA,PDHB",0,2,0,5,0,3,1,3,33
Nitric Oxide cGMP-Mediated Signaling,GOBP_NITRIC_OXIDE_CGMP_MEDIATED_SIGNALING,0.68952373,1,1,1,1.10E-05,0.457381398,1,1,INS,,,,"INS,APOE,GUCY1A1,GUCY1B1,CD36",INS,,,1,0,0,0,5,1,0,0,8
Negative Regulation of Ferroptosis,GOBP_NEGATIVE_REGULATION_OF_FERROPTOSIS,1,0.089953028,0.773406735,0.595379029,0.00025449,0.457381398,0.482785231,0.604912427,,"FTH1,GPX4",GPX4,SLC7A11,"GPX4,FTH1,NQO1,SQSTM1",GPX4,FTH1,FTH1,0,2,1,1,4,1,1,1,8
Superoxide Dismutase Activity,GOMF_SUPEROXIDE_DISMUTASE_ACTIVITY,1,1,1,1,0.00141398,0.349625414,0.040723991,1,,,,,"SOD2,SOD3,NQO1",SOD2,"SOD2,SOD3",,0,0,0,0,3,1,2,0,5
Beta N-Acetylhexosaminidase Activity,GOMF_BETA_N_ACETYLHEXOSAMINIDASE_ACTIVITY,1,1,1,1,0.01232829,0.259296673,1,1,,,,,"HEXB,HEXA",HEXB,,,0,0,0,0,2,1,0,0,3
Cholesterol Metabolism,WP_CHOLESTEROL_METABOLISM,1,0.543199919,1,0.933317768,0.010995362,0.172982688,0.064460821,1,"PCSK9,NPC1L1","PMVK,FDPS,TM7SF2",NPC1L1,"NSDHL,MVD","APOE,NPC2,APOC1,LPL,CD36,SORT1","IDI1,FDFT1,DHCR24,TSPO","LRPAP1,SQLE,FDFT1,LDLR,MSMO1",SCARB1,2,3,1,2,6,4,5,1,72
VLDL Particle Clearance,GOBP_VERY_LOW_DENSITY_LIPOPROTEIN_PARTICLE_CLEARANCE,1,1,1,1,0.045124876,1,0.449922634,1,,,,,"APOE,APOC1",,LRPAP1,,0,0,0,0,2,0,1,0,7
Abnormal Glycosphingolipid Metabolism,HP_ABNORMAL_GLYCOSPHINGOLIPID_METABOLISM,1,1,1,1,0.045124876,0.422066364,1,1,,,,,"HEXB,HEXA",HEXB,,,0,0,0,0,2,1,0,0,7
Lipid Storage,GOBP_LIPID_STORAGE,1,1,1,1,7.60E-05,0.555569752,0.936083232,1,"SMIM22,FFAR2","PLIN3,ALKBH7","PLA2G4C,SIRT1",ZC3H12A,"CAV1,APOE,NPC2,IL6,ALKBH7,HEXB,NFKBIA,LPL,HEXA,CD36","PLIN2,HEXB,NR1H2","ZC3H12A,SQLE","SCARB1,PLA2G4C",2,2,2,1,10,3,2,2,92
Retinal Dehydrogenase Activity,GOMF_RETINAL_DEHYDROGENASE_ACTIVITY,1,0.648235796,0.80910138,1,0.00582813,1,1,0.643301917,,AKR1B1,DHRS4,,"AKR1B1,ALDH1A1,AKR1C3",,,ALDH1A1,0,1,1,0,3,0,0,1,9
Cell Migration,WU_CELL_MIGRATION,3.48E-05,1,1,0.905055293,1.52E-06,0.747177046,0.161205865,1,"MT1X,MT1F,MT1E,MT2A,GRAMD2B,CLU,IGFBP7,TUBA4A,MT1G,KLF5,NEDD9,GSTM3,IGFBP3,BICC1,RBPMS","FKBP11,CSTB,MT1F",MT1F,"FN1,KRT18,UGCG,MEST","ASAH1,DKK3,EPAS1,EPS8,ARHGDIB,UGCG,SQOR,BST2,SRGN,VIM,AKR1C3,TNFAIP2,TSPAN4,RAB31,CXCL1,ADIRF","IGFBP3,PLIN2,ARHGDIB,PIR","CXCL1,SLPI,TFPI2,SQOR,PTGES,NNMT,TNFAIP2","ARHGDIB,KLF5",15,3,1,4,16,4,7,2,177
Protein Homodimerization Activity,GOMF_PROTEIN_HOMODIMERIZATION_ACTIVITY,0.036363589,0.103065446,0.141013526,0.206438646,0.020147893,0.404982667,0.996012148,0.194648429,"CLTRN,S100A10,DPY30,BNIP3,TOX3,PGRMC1,CIP2A,HNF4A,CISD1,DNPH1,GSTM3,CISD2,TESC,LHPP,COMMD1,BAX,NPC1L1,ABCD3,CEACAM1,RBPMS,UCP2,PDE2A","TESC,PARK7,DNPH1,SNRPC,GSTA4,DPY30,BANF1,LHPP,BAX,PAFAH1B3,ADA2,LYRM4,HSPB1,S100B,NR0B1,PRTFDC1,GSTZ1,G6PD,ISCU","STK4,ADA2,HHEX,DNPH1,ABCD3,NFS1,IKBKB,CISD1,PAXX,CAT,BMPR1A,KYAT1,YARS2,MUC13,CRYM,TRIM68,IDH1,EXT1,COMMD1,NPC1L1","GADD45A,NUDT21,ELAVL1,NR2C1,CLN6,CEP131,DAPK3,PRKRA,PDCD6,MKLN1,SUPV3L1,CANT1,NR4A3,RBM11,PEX11B,CAV2,MVD,TRNT1","B2M,APOE,HSPB1,ERP29,CADM1,ISCU,STOM,GADD45A,BST2,GCH1,GDF15,HEYL,GYG1,TIMM9,LPL,IMPA2,STING1,PYCARD,DNPH1,AGXT,PDGFA","B2M,STARD3NL,HSPB1,TXN,PEX7,TSG101,LYRM4,RELA,CADM1,NPM1,SLC39A13,RRAGA,NUDT5,CISD1,GLB1","S100A11,TXN,B2M,RIPK2,PDCD6,DNPH1,SSBP1,STING1,SMIM1,NUDT16,TPCN1","RACK1,CHMP4A,PARK7,PDXP,NR0B2,TYMP,AGXT,NUDT5,CRYL1,COMMD1,EXT2,IMPA2,TIMM10,PON2,ST6GAL1,HIP1,MTUS2,MORC2",22,19,20,18,21,15,11,18,682
Negative Regulation of Transport,GOBP_NEGATIVE_REGULATION_OF_TRANSPORT,0.013345142,0.702386025,0.684001922,1,0.008623184,0.154518736,0.275104316,0.83955326,"INS,FFAR4,CHGA,HADH,MRLN,PCSK9,SERPINE2,FFAR2,WNK4,CD200,ABCC8,NHERF1,COMMD1,WNK3,PNKD,ABAT,CEACAM1,UCP2","CALM2,CALM3,PARK7,SUMO1,PNKD,FIS1,SNX3,CDK5,SRI,ISCU","CRH,HADH,PNKD,TBC1D4,RUBCN,HMGB1,ASIC1,ABAT,MTMR2,KCNJ11,COMMD1","CARTPT,DERL2,UBE2J1,ATXN2,SDCBP,SYTL4,GNAZ","CAV1,INS,APOE,SDCBP,ERP29,ISCU,RAP1A,RAP1B,FIS1,SNX3,APOC1,GSTO1,CD36,PKIG,DERL3,PLSCR1,SUMO1","INS,OAZ1,SNX3,TXN,INSIG1,SUMO1,NDFIP1,CRBN,CLIC2,TSPO,RAC1,ARF6,NR1H2","TXN,PLSCR1,VAMP8,CD47,SDCBP,LRPAP1,SUMO1,OAZ1,RGS2,RAC1,TGFB1,ADRA2B","RACK1,OAZ1,PARK7,SERGEF,RGS2,ANKRD27,COMMD1,FIS1,CDK5",18,10,11,7,17,13,12,9,452
Amyloid Fibril Suppression,GOBP_NEGATIVE_REGULATION_OF_AMYLOID_FIBRIL_FORMATION,0.04600901,0.174432421,1,0.704748148,0.013166672,0.571969511,0.595826945,1,"IAPP,CLU,PFDN4","PFDN5,IAPP",,PFDN5,"PFDN5,APOE,IAPP",IAPP,LDLR,,3,2,0,1,3,1,1,0,13
Homeostasis Regulation,GOBP_HOMEOSTATIC_PROCESS,1.09E-05,0.382122262,0.480535406,0.581210414,0.002969177,0.016461504,0.095962704,0.180167809,"INS,FFAR4,CLTRN,MT1X,RBP4,MT1F,FXYD2,IAPP,HADH,MT1E,MT2A,USH1C,SCGN,ATP6V1D,SLC2A2,CCDC198,MAFB,BOLA3,PCSK9,G6PC2,MT1G,PRDX5,RFX6,KCNA5,HNF1A,FFAR2,BNIP3,FOXA3,UBE2S,SLC29A1,WNK4,MT1M,ABCC8,HNF4A,ORMDL2,PLCH1,ABCC6,NPTN,NHERF1,TSC22D3,ACOT13,COMMD1,MICU1,CCKBR,ACSM3,WNK3,BAX,LARGE2,NPC1L1,TLCD4,PBLD,MAP2K6,ABAT,SCO2,TMEM18,UCP2","CALM2,GCG,ATP6V1G1,CALM3,FTH1,MPC2,SLC25A5,RPS6,PARK7,SCGN,PRDX2,UBB,OCIAD2,FKBP1A,GPX1,PRDX5,LAMTOR1,IAPP,BAX,SMARCB1,AKR1B1,SRI,ATP13A1,DYNLL1,ADISSP,PRMT1,PRDX6,ACTG1,SLC39A4,TXN2,MT1F,G6PD,ORMDL2,ISCU","RPS6,CRH,HADH,RPS19,GCG,MT1F,PRDX5,CALB1,PEMT,SCGN,RPL13A,RIPK3,CNNM4,RAB39A,ALAS1,FSTL1,BDH2,HMGB1,SLC12A5,ABAT,UNC13B,COL14A1,PDE4B,MUC13,CRTC1,MB,KCNJ11,MT3,NAPEPLD,SIRT1,NEMP1,DECR1,EXT1,COMMD1,NPC1L1","RPS14,PCSK1N,GADD45G,OGT,PDK4,FTL,CXCL6,TSC22D3,ORMDL1,RPS19,SLC7A11,JMJD6,CARTPT,LAMTOR1,ZC3H8,CLN6,LSR,ANKRD9,CLN8,CYB561A3,MKKS,GPRASP2,RPS6,ATP6V0C,ITPR1,NR4A3,TRPM2,CAV2,SELENON,APEX1,GRN,ATP6V0D1","CAV1,FTL,B2M,FTH1,SOD2,EPAS1,INS,APOE,G0S2,ZFP36,ADGRF5,ATP6V0E1,ISCU,IAPP,CNBP,AKR1B1,NQO1,CUTC,LAMTOR1,GRN,NPC2,ESAM,PRDX5,IL6,ALDH1A1,NFKBIZ,DNASE2,SQSTM1,HEXB,ACP5,GSTO1,THY1,ORMDL1,GDF15,TXNRD1,LPL,RPS6,CXCR4,CD40,CD36,CTSK,SLC40A1,CTNS,ACOT13,PCSK1N","GCG,IAPP,FKBP1A,UBB,B2M,INS,ACTB,TPT1,GSTP1,MPV17,TXN,INSIG1,SOD2,GLRX3,NDFIP1,TUBA1A,ATP6V1G1,EDN3,GHITM,LAMTOR1,ISG15,SLC39A13,OCIAD1,FUNDC2,TCIRG1,RRAGA,CREG1,TMEM175,SLC22A5,S1PR1,ATP6V0B,CLIC2,TRIM32,TSPO,HEXB,TPP1,TMEM18,CEBPG,ATP6V1F,NR1H2,MAPK3,ATP6V0E1","PRDX1,SOD2,CCL2,RPS14,CYBA,TXN,B2M,ICAM1,ATP6V1G1,FTH1,CXCL6,GSTP1,CD40,PTGES,RPS6,CYB561D2,NFKBIZ,LYN,ISG15,SLC34A2,ORMDL2,SMDT1,RPS19,SERPINA3,LAMTOR1,ATP6V1F,GCG,SLC39A3,TGFB1,LOX,MT1M,LDLR,PLCB3,CFLAR,ATP6V0C,RBP4,WBP2NL,NUBP1","RPS6,RACK1,RPS14,FTH1,ALDH1A1,RPS19,RPS24,PRDX4,XBP1,FTL,RPH3AL,PARK7,ADGRG1,RPL13A,MKKS,BPGM,MTCH2,COMMD1,FGGY,TRPV2,ACACA,EXT2,NCDN,HNF1A,ASL,STOML2,CLN5,PASK,FLVCR1,CD40,HYAL2,LRRC19,SCARB1,PRKACB,MERTK,IL7,SFXN5",56,34,35,32,45,42,38,37,1694
Endolysosome Membrane,GOCC_ENDOLYSOSOME_MEMBRANE,0.930525638,0.926437112,1,1,0.175583649,0.004717548,0.230862561,1,PCSK9,AP2S1,,,"CLTA,AP2S1","AP2M1,AP2S1,CLTA,AP2A2","AP2S1,LDLR",,1,1,0,0,2,4,2,0,19
Dermatan Sulfate Proteoglycan Metabolic Process,GOBP_DERMATAN_SULFATE_PROTEOGLYCAN_METABOLIC_PROCESS,1,1,1,0.690269462,0.095844398,0.013906168,0.57826086,1,,,,B3GAT3,"HEXB,HEXA","CHST14,HEXB,CHST12",B3GAT3,,0,0,0,1,2,3,1,0,12
Hepatocyte Growth Factor Receptor Signaling Pathway,GOBP_HEPATOCYTE_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY,1,0.733417556,1,1,1,0.013906168,0.132350475,1,,STMN1,,,,"BCAR1,RAC1,STMN1","RAC1,ESM1",,0,1,0,0,0,3,2,0,12
Dermatan Sulfate Biosynthetic Process,GOBP_DERMATAN_SULFATE_BIOSYNTHETIC_PROCESS,1,1,1,1,1,0.03438545,1,1,,,,,,"CHST14,CHST12",,,0,0,0,0,0,2,0,0,5
GDP Fucose Biosynthesis,REACTOME_GDP_FUCOSE_BIOSYNTHESIS,1,1,1,1,1,1,0.00143383,0.449140953,,,,,,,"GFUS,FUOM,GMDS",FPGT,0,0,0,0,0,0,3,1,4
Inflammatory Response TGFB1,BIERIE_INFLAMMATORY_RESPONSE_TGFB1,1,1,1,0.472450799,0.296248746,1,0.002379265,1,,,,CXCL6,CCL20,,"CXCL6,CXCL3,CCL20",,0,0,0,1,1,0,3,0,5
Phenylalanine Metabolism,REACTOME_PHENYLALANINE_METABOLISM,0.566153895,0.455177485,0.112884918,1,1,0.349625414,0.002379265,1,PCBD1,PCBD1,"PCBD1,KYAT1",,,ASRGL1,"ASRGL1,PCBD1,IL4I1",,1,1,2,0,0,1,3,0,5
Interferon Receptor Activity,GOMF_INTERFERON_RECEPTOR_ACTIVITY,1,1,1,0.472450799,1,1,0.040723991,1,,,,IFNGR2,,,"IFNGR2,IFNAR2",,0,0,0,1,0,0,2,0,5
Release of Apoptotic Factors from the Mitochondria,REACTOME_RELEASE_OF_APOPTOTIC_FACTORS_FROM_THE_MITOCHONDRIA,0.566153895,0.455177485,1,1,1,1,0.375103177,0.002967885,BAX,BAX,,,,,GSDMD,"CYCS,GSDMD,DIABLO",1,1,0,0,0,0,1,3,5
Regulation of RIG-I Signaling Pathway,GOBP_REGULATION_OF_RIG_I_SIGNALING_PATHWAY,1,1,1,0.830900565,1,1,1,0.006658766,,,,NOP53,,,,"C1QBP,NOP53,UFD1,GPATCH3",0,0,0,1,0,0,0,4,18
Protein Repair,GOBP_PROTEIN_REPAIR,1,0.556492771,1,1,1,1,1,0.006692961,,PARK7,,,,,,"PARK7,MSRB1,MSRA",0,1,0,0,0,0,0,3,7
Defects in Biotin Metabolism,REACTOME_DEFECTS_IN_BIOTIN_BTN_METABOLISM,0.68952373,1,1,1,1,1,1,0.00889876,PCCB,,,,,,,"BTD,PCCB,ACACA",1,0,0,0,0,0,0,3,8
Pentose Metabolic Process,GOBP_PENTOSE_METABOLIC_PROCESS,0.269666174,0.174432421,1,0.704748148,1,0.571969511,1,0.026726808,"DCXR,DHDH","DCXR,G6PD",,RPIA,,NUDT5,,"NUDT5,RBKS,FGGY",2,2,0,1,0,1,0,3,13
